time,ax,ay,az,atotal
0.000,-0.28,-0.14,-0.53,0.61
0.010,-0.24,-0.03,-0.22,0.33
0.020,-0.11,0.09,-0.01,0.15
0.030,-0.01,0.20,0.11,0.23
0.040,0.05,0.25,0.21,0.33
0.050,0.11,0.23,0.19,0.31
0.060,0.18,0.20,0.10,0.28
0.070,0.23,0.14,-0.02,0.27
0.080,0.30,0.10,-0.17,0.35
0.090,0.40,0.13,-0.24,0.48
0.100,0.46,0.17,-0.24,0.55
0.110,0.46,0.13,-0.10,0.49
0.119,0.43,0.05,0.01,0.44
0.129,0.39,0.02,0.00,0.39
0.139,0.33,0.04,-0.02,0.33
0.150,0.26,0.04,0.02,0.26
0.159,0.29,0.05,0.06,0.30
0.169,0.33,0.06,0.03,0.34
0.179,0.28,0.02,0.01,0.28
0.189,0.20,-0.02,-0.01,0.20
0.199,0.19,-0.02,-0.07,0.20
0.209,0.18,0.02,-0.08,0.20
0.219,0.19,0.08,-0.08,0.22
0.229,0.14,0.07,-0.03,0.16
0.239,0.12,0.04,-0.03,0.12
0.249,0.16,0.01,-0.02,0.16
0.259,0.21,-0.08,0.13,0.26
0.269,0.21,-0.22,0.15,0.34
0.279,0.24,-0.28,0.03,0.37
0.289,0.28,-0.20,-0.14,0.37
0.299,0.24,-0.05,-0.21,0.32
0.309,0.14,0.07,-0.24,0.29
0.318,0.08,0.07,-0.21,0.23
0.328,0.07,-0.04,-0.17,0.19
0.339,0.09,-0.15,-0.17,0.24
0.348,0.14,-0.19,-0.16,0.28
0.358,0.11,-0.21,-0.21,0.31
0.368,0.02,-0.19,-0.21,0.28
0.378,-0.03,-0.15,-0.30,0.33
0.388,0.01,-0.08,-0.36,0.37
0.398,-0.01,-0.02,-0.45,0.45
0.408,-0.10,-0.04,-0.41,0.43
0.418,-0.17,-0.11,-0.30,0.36
0.428,-0.18,-0.18,-0.25,0.35
0.438,-0.14,-0.20,-0.37,0.45
0.448,-0.17,-0.21,-0.36,0.45
0.458,-0.20,-0.22,-0.23,0.37
0.468,-0.19,-0.24,-0.11,0.33
0.478,-0.16,-0.22,-0.15,0.31
0.488,-0.15,-0.18,-0.12,0.27
0.498,-0.12,-0.11,-0.07,0.18
0.508,-0.07,-0.04,-0.13,0.15
0.517,-0.04,-0.00,-0.20,0.20
0.528,-0.02,0.01,-0.25,0.25
0.537,-0.00,0.04,-0.24,0.24
0.547,0.05,0.06,-0.16,0.18
0.557,0.14,0.09,-0.15,0.23
0.567,0.25,0.10,-0.09,0.28
0.577,0.28,0.11,-0.08,0.31
0.587,0.32,0.12,-0.03,0.34
0.597,0.34,0.16,0.05,0.37
0.607,0.36,0.19,0.12,0.42
0.617,0.35,0.21,0.10,0.42
0.627,0.28,0.18,0.07,0.34
0.637,0.23,0.14,0.11,0.29
0.647,0.19,0.09,0.08,0.23
0.657,0.19,0.01,0.10,0.21
0.667,0.22,-0.03,0.12,0.25
0.677,0.25,-0.04,0.17,0.31
0.686,0.20,-0.04,0.18,0.27
0.696,0.13,-0.02,0.12,0.18
0.707,0.15,0.03,0.13,0.19
0.716,0.19,0.07,0.06,0.21
0.726,0.20,0.10,0.03,0.23
0.736,0.20,0.08,0.02,0.21
0.746,0.18,-0.02,0.06,0.19
0.756,0.16,-0.13,0.02,0.20
0.766,0.15,-0.14,-0.07,0.22
0.776,0.19,-0.12,-0.13,0.26
0.786,0.19,-0.10,-0.19,0.29
0.796,0.14,-0.08,-0.15,0.22
0.806,0.17,-0.04,-0.17,0.24
0.816,0.21,0.01,-0.19,0.28
0.826,0.25,0.07,-0.22,0.34
0.836,0.27,0.09,-0.20,0.35
0.846,0.29,0.01,-0.10,0.31
0.856,0.28,-0.11,-0.06,0.30
0.866,0.26,-0.19,-0.06,0.32
0.876,0.23,-0.16,-0.08,0.30
0.886,0.20,-0.09,-0.05,0.22
0.896,0.20,-0.07,0.01,0.21
0.906,0.23,-0.09,0.05,0.25
0.916,0.25,-0.13,0.07,0.29
0.925,0.27,-0.16,0.09,0.33
0.935,0.26,-0.10,0.03,0.28
0.945,0.26,0.00,-0.05,0.26
0.955,0.24,0.12,-0.13,0.29
0.965,0.22,0.13,-0.14,0.29
0.975,0.23,0.12,-0.11,0.28
0.985,0.30,0.08,-0.06,0.32
0.995,0.35,0.05,-0.01,0.35
1.005,0.33,0.03,0.08,0.34
1.015,0.31,0.04,0.12,0.34
1.025,0.29,0.03,0.13,0.32
1.035,0.26,-0.00,0.10,0.28
1.045,0.24,-0.04,0.10,0.26
1.055,0.27,-0.04,0.12,0.30
1.065,0.30,0.00,0.12,0.33
1.075,0.32,0.05,0.22,0.39
1.085,0.36,0.05,0.38,0.52
1.095,0.36,-0.03,0.45,0.57
1.105,0.31,-0.15,0.43,0.55
1.114,0.26,-0.17,0.38,0.49
1.125,0.24,-0.11,0.34,0.43
1.134,0.26,-0.05,0.36,0.45
1.144,0.28,-0.06,0.39,0.48
1.154,0.28,-0.10,0.36,0.46
1.164,0.21,-0.10,0.34,0.41
1.174,0.15,-0.08,0.39,0.43
1.184,0.06,-0.04,0.40,0.41
1.194,0.02,-0.00,0.41,0.41
1.204,0.15,0.08,0.37,0.41
1.214,0.31,0.19,0.30,0.47
1.224,0.32,0.23,0.35,0.53
1.234,0.22,0.15,0.57,0.63
1.244,0.13,0.03,0.65,0.67
1.254,0.04,-0.11,0.63,0.64
1.263,-0.03,-0.18,0.46,0.49
1.274,-0.17,-0.19,0.28,0.38
1.284,-0.32,-0.16,0.18,0.40
1.294,-0.40,-0.14,0.13,0.45
1.303,-0.41,-0.07,0.01,0.42
1.313,-0.34,-0.03,0.02,0.34
1.324,-0.21,-0.07,0.05,0.23
1.333,-0.07,-0.15,-0.01,0.17
1.343,0.09,-0.22,-0.08,0.25
1.353,0.25,-0.22,-0.14,0.36
1.363,0.33,-0.11,-0.13,0.37
1.373,0.36,-0.04,-0.02,0.36
1.383,0.34,-0.02,0.08,0.35
1.393,0.37,-0.05,0.15,0.40
1.403,0.44,-0.15,0.16,0.49
1.413,0.46,-0.25,0.17,0.55
1.423,0.45,-0.26,0.19,0.55
1.433,0.43,-0.21,0.19,0.52
1.443,0.42,-0.13,0.07,0.45
1.453,0.46,-0.07,-0.09,0.47
1.463,0.53,-0.05,-0.15,0.55
1.473,0.55,-0.11,-0.08,0.57
1.483,0.55,-0.23,-0.04,0.60
1.493,0.51,-0.38,-0.03,0.64
1.502,0.41,-0.52,-0.02,0.66
1.513,0.29,-0.61,-0.02,0.68
1.522,0.19,-0.72,-0.03,0.74
1.532,0.12,-0.80,-0.01,0.81
