time,wx,wy,wz
0.005,0.10,-0.15,0.12
0.022,0.10,0.02,0.14
0.039,0.02,0.21,0.11
0.055,-0.12,0.31,0.04
0.071,-0.27,0.46,0.04
0.088,-0.32,0.55,0.04
0.105,-0.41,0.50,0.08
0.121,-0.47,0.59,-0.16
0.138,-0.55,0.93,-0.27
0.155,-0.60,1.18,-0.25
0.171,-0.53,1.31,-0.35
0.188,-0.35,0.89,-0.40
0.206,-0.07,0.02,-0.38
0.221,0.22,-0.60,-0.25
0.238,0.37,-0.76,-0.24
0.255,0.31,-0.51,-0.27
0.271,0.04,-0.09,-0.11
0.288,0.11,-0.29,-0.18
0.305,0.37,-0.22,-0.32
0.324,0.17,0.10,-0.48
0.338,0.01,0.39,-0.62
0.355,-0.08,0.70,-0.58
0.371,0.01,0.94,-0.39
0.388,0.15,0.85,-0.18
0.405,0.22,0.60,-0.05
0.421,0.22,0.39,-0.02
0.438,0.23,0.26,-0.11
0.455,0.17,0.05,-0.18
0.471,-0.05,-0.38,-0.40
0.504,-0.33,-0.78,-0.65
0.520,-0.30,0.15,-0.83
0.537,-0.39,0.65,-0.65
0.570,-0.39,0.77,-0.50
0.587,0.10,0.00,-0.37
0.604,0.37,-0.27,-0.25
0.620,0.49,-0.25,-0.17
0.637,0.39,-0.21,-0.11
0.654,0.22,-0.14,-0.12
0.670,0.09,-0.16,-0.16
0.687,0.11,-0.01,-0.28
0.704,0.17,0.17,-0.43
0.721,0.19,0.26,-0.46
0.737,0.15,0.26,-0.31
0.754,0.05,0.04,-0.14
0.771,0.11,-0.11,-0.02
0.787,0.26,-0.47,0.04
0.806,0.31,-0.67,0.13
0.822,0.23,-0.63,0.19
0.839,0.04,-0.52,0.16
0.856,-0.13,-0.36,-0.01
0.872,-0.17,-0.17,-0.13
0.889,-0.12,-0.02,0.01
0.905,-0.11,0.01,0.17
0.922,-0.24,0.19,0.11
0.939,-0.32,0.34,-0.02
0.955,-0.22,0.28,0.09
0.972,-0.01,0.35,0.25
0.989,0.22,0.23,0.33
1.021,0.26,-0.01,0.27
1.037,0.26,-0.06,0.23
1.054,0.07,0.20,0.17
1.087,-0.09,0.45,0.24
1.104,-0.00,0.06,-0.08
1.121,0.13,-0.31,0.07
1.137,0.06,-0.38,0.17
1.154,-0.23,-0.32,0.14
1.171,-0.37,-0.29,0.13
1.187,-0.23,-0.36,0.17
1.204,-0.04,-0.48,0.22
1.221,0.02,-0.49,0.25
1.237,-0.03,-0.43,0.27
1.254,-0.14,-0.35,0.20
1.271,-0.26,-0.28,0.06
1.287,-0.24,-0.19,-0.03
1.304,-0.14,-0.18,0.12
1.321,-0.09,-0.25,0.08
1.337,-0.18,-0.11,-0.21
1.356,-0.30,0.05,-0.22
1.375,-0.07,-0.18,-0.12
1.390,0.36,-0.31,0.05
1.406,0.56,-0.18,0.25
1.423,0.40,-0.02,0.14
1.440,0.08,0.24,-0.13
1.456,-0.06,0.25,-0.11
1.473,0.03,-0.02,-0.03
1.490,0.05,-0.13,0.01
1.506,-0.25,0.14,0.06
1.537,-0.33,0.27,0.07
1.554,-0.28,0.17,0.08
1.571,-0.10,-0.48,0.12
1.604,-0.07,-0.43,0.11
1.621,-0.08,0.15,0.03
1.637,-0.05,0.14,0.09
1.670,0.06,0.02,0.05
1.687,-0.03,0.22,0.04
1.703,-0.30,0.48,-0.00
1.721,-0.42,0.51,-0.06
1.737,-0.35,0.23,-0.12
1.754,-0.30,0.01,-0.14
1.771,-0.26,0.13,-0.15
1.787,-0.19,0.35,-0.14
1.803,-0.09,0.32,-0.08
1.820,0.00,0.13,-0.01
1.837,0.17,-0.07,-0.02
1.857,0.33,-0.28,-0.04
1.874,0.38,-0.36,-0.03
1.890,0.33,-0.27,-0.03
1.907,0.23,-0.07,-0.06
1.924,0.06,0.08,-0.13
1.940,-0.03,0.05,-0.17
1.957,0.05,-0.07,-0.16
1.974,0.16,-0.12,-0.14
1.990,0.12,0.01,-0.15
2.007,-0.06,0.11,-0.17
2.023,0.00,0.11,-0.11
2.053,0.15,0.01,-0.13
2.070,0.21,-0.08,-0.14
2.087,0.17,-0.08,-0.10
2.103,0.09,-0.05,-0.09
2.120,0.12,-0.08,-0.14
2.137,0.33,-0.27,-0.15
2.154,0.59,-0.65,-0.22
2.187,0.51,-0.82,-0.21
2.204,0.14,-0.37,-0.11
2.220,0.02,0.14,0.09
2.237,-0.08,0.29,0.24
2.254,-0.14,0.17,0.24
2.270,-0.13,-0.03,0.17
2.287,-0.16,-0.17,0.22
2.304,-0.18,-0.07,0.31
2.320,-0.17,0.12,0.29
2.337,-0.18,0.16,0.22
2.354,-0.22,0.11,0.18
2.374,-0.30,0.08,0.14
2.391,-0.36,0.17,0.07
2.407,-0.36,0.20,0.05
2.426,-0.35,0.16,0.08
2.441,-0.39,0.14,0.05
2.457,-0.44,0.24,-0.03
2.474,-0.45,0.31,-0.04
2.491,-0.39,0.31,-0.04
2.507,-0.35,0.20,-0.04
2.524,-0.35,0.11,-0.06
2.541,-0.28,0.03,-0.02
2.571,-0.23,-0.10,-0.04
2.587,-0.21,-0.21,-0.10
2.604,-0.27,-0.19,-0.15
2.621,-0.35,-0.08,-0.14
2.637,-0.36,0.10,-0.11
2.654,-0.35,0.14,-0.06
2.671,-0.16,-0.63,0.02
2.704,0.59,-1.69,0.23
2.721,0.20,0.03,-0.04
2.737,-0.59,0.71,-0.09
2.771,-0.40,0.57,-0.12
2.787,0.04,0.17,-0.14
2.804,0.08,0.19,-0.22
2.821,-0.08,0.31,-0.19
2.838,-0.18,0.47,-0.10
2.854,-0.21,0.53,-0.06
2.875,-0.12,0.44,-0.08
2.892,0.09,0.24,-0.06
2.908,0.32,0.08,-0.03
2.925,0.37,-0.12,-0.02
2.942,0.61,-0.66,-0.05
2.958,0.95,-1.11,0.04
2.975,1.15,-1.16,-0.14
2.991,1.03,-0.55,-0.27
3.008,0.52,0.08,-0.15
3.025,-0.12,0.26,0.13
3.041,-0.28,0.29,0.24
3.058,-0.18,0.09,0.16
3.074,-0.02,0.11,0.08
3.091,0.00,0.06,0.14
3.108,0.20,0.39,0.10
3.124,0.20,0.52,0.09
3.155,0.08,0.44,0.10
3.171,-0.02,0.19,0.10
3.188,0.04,0.08,-0.07
3.221,0.05,0.17,-0.02
3.238,0.02,-0.29,0.24
3.255,0.13,-0.69,0.28
3.288,0.77,-0.64,0.26
3.305,0.69,-0.00,0.29
3.321,0.37,-0.16,0.44
3.338,-0.12,-0.23,0.33
3.355,-0.30,-0.12,0.26
3.371,-0.26,-0.00,0.32
3.388,-0.17,0.06,0.32
3.405,-0.14,0.18,0.26
3.426,-0.23,0.38,0.17
3.442,-0.38,0.31,0.21
3.459,-0.47,0.20,0.18
3.476,-0.39,0.10,0.16
3.492,-0.30,-0.00,0.27
3.509,-0.26,-0.07,0.32
3.525,-0.28,-0.06,0.28
3.543,-0.29,-0.16,0.24
3.559,-0.29,-0.32,0.19
3.576,-0.35,-0.42,0.19
3.604,-0.42,-0.19,0.10
3.620,-0.39,-0.06,0.05
3.637,-0.31,-0.18,0.05
3.654,-0.28,-0.41,0.11
3.670,-0.21,-0.54,0.15
3.688,-0.06,-0.38,0.07
3.704,0.04,-0.35,0.06
3.720,-0.01,-0.46,0.04
3.737,0.13,-0.69,0.07
3.754,0.36,-0.27,-0.04
3.770,0.30,0.22,-0.16
3.804,0.21,0.24,-0.17
3.820,0.27,0.03,-0.06
3.837,0.34,0.03,-0.05
3.870,0.10,0.43,-0.18
3.887,0.04,0.48,-0.05
3.904,0.09,0.41,-0.01
3.921,0.24,0.45,-0.08
3.943,0.45,0.77,-0.01
3.960,0.64,0.97,0.11
3.977,0.69,0.79,0.12
3.993,0.57,0.42,0.02
4.010,0.29,-0.09,-0.14
4.026,-0.01,-0.38,-0.29
4.043,-0.26,-0.24,-0.35
4.059,-0.42,0.19,-0.29
4.076,-0.50,0.60,-0.15
4.093,-0.57,0.01,-0.20
4.121,-0.45,-0.33,-0.30
4.137,-0.17,-0.29,-0.22
4.154,0.13,-0.12,-0.09
4.171,0.31,-0.25,-0.02
4.187,0.34,-0.56,-0.03
4.204,0.23,-0.66,-0.03
4.221,0.11,-0.33,0.00
4.237,-0.09,0.05,0.01
4.254,-0.34,0.28,-0.15
4.271,-0.50,0.43,-0.32
4.288,-0.35,0.41,-0.28
4.321,-0.41,0.13,-0.20
4.338,-0.25,0.35,-0.14
4.354,-0.09,0.55,-0.16
4.388,-0.10,-0.60,-0.24
4.404,-0.13,-0.73,-0.22
4.427,-0.26,-0.41,-0.03
4.444,-0.40,0.01,0.16
4.460,-0.27,0.48,0.17
4.477,0.14,0.62,-0.00
4.494,0.49,0.45,-0.04
4.510,0.14,-0.02,0.02
4.529,-0.38,-0.02,0.02
4.543,-0.34,0.26,0.09
4.560,0.01,0.46,0.13
4.577,0.04,0.11,0.08
4.593,-0.10,-0.18,-0.05
4.610,-0.19,-0.09,-0.17
4.627,-0.29,0.04,-0.22
4.643,-0.25,0.06,-0.27
4.660,-0.00,-0.13,-0.47
4.677,-0.14,-0.02,-0.45
4.705,-0.20,0.29,-0.44
4.721,-0.15,0.25,-0.39
4.738,-0.13,0.05,-0.34
4.755,-0.12,-0.04,-0.25
4.771,-0.21,-0.07,-0.06
4.788,-0.36,-0.05,0.07
4.805,-0.19,-0.29,0.14
4.838,-0.11,-0.24,0.46
4.855,-0.28,0.14,0.22
4.872,-0.17,0.12,0.16
4.905,-0.02,-0.02,0.18
4.928,-0.03,0.01,0.19
4.944,-0.06,0.07,0.18
4.961,-0.06,0.02,0.23
4.978,-0.00,-0.17,0.25
4.988,0.10,-0.32,0.25
5.005,0.16,-0.13,0.23
5.022,0.08,0.25,0.11
5.038,-0.14,0.42,-0.08
5.055,-0.23,0.23,-0.07
5.072,-0.20,-0.08,0.09
5.088,-0.11,-0.09,0.13
5.105,-0.00,0.24,0.11
5.122,-0.05,0.73,0.05
5.138,-0.31,0.86,0.04
5.155,-0.36,0.77,-0.04
5.171,-0.22,0.41,-0.00
5.188,-0.00,0.13,0.08
5.205,0.13,0.25,0.09
5.222,0.03,0.34,0.07
5.238,-0.05,0.25,-0.03
5.255,0.08,0.10,-0.08
5.271,0.19,0.04,0.02
5.288,0.27,0.08,0.12
5.305,0.37,0.03,0.12
