epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1747090554000,2025-05-12T22:55:54.000000,0.0,-0.28,-0.14,-0.53
1747090554010,2025-05-12T22:55:54.010000,0.01,-0.24,-0.03,-0.22
1747090554020,2025-05-12T22:55:54.020000,0.02,-0.11,0.09,-0.01
1747090554030,2025-05-12T22:55:54.030000,0.03,-0.01,0.2,0.11
1747090554040,2025-05-12T22:55:54.040000,0.04,0.05,0.25,0.21
1747090554050,2025-05-12T22:55:54.050000,0.05,0.11,0.23,0.19
1747090554060,2025-05-12T22:55:54.060000,0.06,0.18,0.2,0.1
1747090554070,2025-05-12T22:55:54.070000,0.07,0.23,0.14,-0.02
1747090554080,2025-05-12T22:55:54.080000,0.08,0.3,0.1,-0.17
1747090554090,2025-05-12T22:55:54.090000,0.09,0.4,0.13,-0.24
1747090554100,2025-05-12T22:55:54.100000,0.1,0.46,0.17,-0.24
1747090554110,2025-05-12T22:55:54.110000,0.11,0.46,0.13,-0.1
1747090554119,2025-05-12T22:55:54.119000,0.119,0.43,0.05,0.01
1747090554129,2025-05-12T22:55:54.129000,0.129,0.39,0.02,0.0
1747090554139,2025-05-12T22:55:54.139000,0.139,0.33,0.04,-0.02
1747090554150,2025-05-12T22:55:54.150000,0.15,0.26,0.04,0.02
1747090554159,2025-05-12T22:55:54.159000,0.159,0.29,0.05,0.06
1747090554169,2025-05-12T22:55:54.169000,0.169,0.33,0.06,0.03
1747090554179,2025-05-12T22:55:54.179000,0.179,0.28,0.02,0.01
1747090554189,2025-05-12T22:55:54.189000,0.189,0.2,-0.02,-0.01
1747090554199,2025-05-12T22:55:54.199000,0.199,0.19,-0.02,-0.07
1747090554209,2025-05-12T22:55:54.209000,0.209,0.18,0.02,-0.08
1747090554219,2025-05-12T22:55:54.219000,0.219,0.19,0.08,-0.08
1747090554229,2025-05-12T22:55:54.229000,0.229,0.14,0.07,-0.03
1747090554239,2025-05-12T22:55:54.239000,0.239,0.12,0.04,-0.03
1747090554249,2025-05-12T22:55:54.249000,0.249,0.16,0.01,-0.02
1747090554259,2025-05-12T22:55:54.259000,0.259,0.21,-0.08,0.13
1747090554269,2025-05-12T22:55:54.269000,0.269,0.21,-0.22,0.15
