epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1747090554005,2025-05-12T22:55:54.005000,0.005,0.1,-0.15,0.12
1747090554022,2025-05-12T22:55:54.022000,0.022,0.1,0.02,0.14
1747090554039,2025-05-12T22:55:54.039000,0.039,0.02,0.21,0.11
1747090554055,2025-05-12T22:55:54.055000,0.055,-0.12,0.31,0.04
1747090554071,2025-05-12T22:55:54.071000,0.071,-0.27,0.46,0.04
1747090554088,2025-05-12T22:55:54.088000,0.088,-0.32,0.55,0.04
1747090554105,2025-05-12T22:55:54.105000,0.105,-0.41,0.5,0.08
1747090554121,2025-05-12T22:55:54.121000,0.121,-0.47,0.59,-0.16
1747090554138,2025-05-12T22:55:54.138000,0.138,-0.55,0.93,-0.27
1747090554155,2025-05-12T22:55:54.155000,0.155,-0.6,1.18,-0.25
1747090554171,2025-05-12T22:55:54.171000,0.171,-0.53,1.31,-0.35
1747090554188,2025-05-12T22:55:54.188000,0.188,-0.35,0.89,-0.4
1747090554206,2025-05-12T22:55:54.206000,0.206,-0.07,0.02,-0.38
1747090554221,2025-05-12T22:55:54.221000,0.221,0.22,-0.6,-0.25
1747090554238,2025-05-12T22:55:54.238000,0.238,0.37,-0.76,-0.24
1747090554255,2025-05-12T22:55:54.255000,0.255,0.31,-0.51,-0.27
1747090554271,2025-05-12T22:55:54.271000,0.271,0.04,-0.09,-0.11
1747090554288,2025-05-12T22:55:54.288000,0.288,0.11,-0.29,-0.18
1747090554305,2025-05-12T22:55:54.305000,0.305,0.37,-0.22,-0.32
1747090554324,2025-05-12T22:55:54.324000,0.324,0.17,0.1,-0.48
1747090554338,2025-05-12T22:55:54.338000,0.338,0.01,0.39,-0.62
1747090554355,2025-05-12T22:55:54.355000,0.355,-0.08,0.7,-0.58
1747090554371,2025-05-12T22:55:54.371000,0.371,0.01,0.94,-0.39
1747090554388,2025-05-12T22:55:54.388000,0.388,0.15,0.85,-0.18
1747090554405,2025-05-12T22:55:54.405000,0.405,0.22,0.6,-0.05
1747090554421,2025-05-12T22:55:54.421000,0.421,0.22,0.39,-0.02
1747090554438,2025-05-12T22:55:54.438000,0.438,0.23,0.26,-0.11
1747090554455,2025-05-12T22:55:54.455000,0.455,0.17,0.05,-0.18
1747090554471,2025-05-12T22:55:54.471000,0.471,-0.05,-0.38,-0.4
1747090554504,2025-05-12T22:55:54.504000,0.504,-0.33,-0.78,-0.65
1747090554520,2025-05-12T22:55:54.520000,0.52,-0.3,0.15,-0.83
1747090554537,2025-05-12T22:55:54.537000,0.537,-0.39,0.65,-0.65
1747090554570,2025-05-12T22:55:54.570000,0.57,-0.39,0.77,-0.5
1747090554587,2025-05-12T22:55:54.587000,0.587,0.1,0.0,-0.37
1747090554604,2025-05-12T22:55:54.604000,0.604,0.37,-0.27,-0.25
1747090554620,2025-05-12T22:55:54.620000,0.62,0.49,-0.25,-0.17
1747090554637,2025-05-12T22:55:54.637000,0.637,0.39,-0.21,-0.11
1747090554654,2025-05-12T22:55:54.654000,0.654,0.22,-0.14,-0.12
1747090554670,2025-05-12T22:55:54.670000,0.67,0.09,-0.16,-0.16
1747090554687,2025-05-12T22:55:54.687000,0.687,0.11,-0.01,-0.28
1747090554704,2025-05-12T22:55:54.704000,0.704,0.17,0.17,-0.43
1747090554721,2025-05-12T22:55:54.721000,0.721,0.19,0.26,-0.46
1747090554737,2025-05-12T22:55:54.737000,0.737,0.15,0.26,-0.31
1747090554754,2025-05-12T22:55:54.754000,0.754,0.05,0.04,-0.14
1747090554771,2025-05-12T22:55:54.771000,0.771,0.11,-0.11,-0.02
1747090554787,2025-05-12T22:55:54.787000,0.787,0.26,-0.47,0.04
1747090554806,2025-05-12T22:55:54.806000,0.806,0.31,-0.67,0.13
1747090554822,2025-05-12T22:55:54.822000,0.822,0.23,-0.63,0.19
1747090554839,2025-05-12T22:55:54.839000,0.839,0.04,-0.52,0.16
1747090554856,2025-05-12T22:55:54.856000,0.856,-0.13,-0.36,-0.01
1747090554872,2025-05-12T22:55:54.872000,0.872,-0.17,-0.17,-0.13
1747090554889,2025-05-12T22:55:54.889000,0.889,-0.12,-0.02,0.01
1747090554905,2025-05-12T22:55:54.905000,0.905,-0.11,0.01,0.17
